PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 103.300782953699*(0.1*t - 1)**3 - 122.300223477162*(0.1*t - 1)**2 - 100.0,10*t + 85.1266250350629*(0.1*t - 1)**3 - 100.783411005811*(0.1*t - 1)**2 - 100.0," 
100",7.892823266852904,10.0,17.892823266852904
10*t + 0.186902383267892*(0.0558883293645747*t - 1)**3 - 0.368707287602953*(0.0558883293645747*t - 1)**2 - 125.396317774912,10*t + 198.10632033489*(0.0558883293645747*t - 1)**3 - 390.809591352349*(0.0558883293645747*t - 1)**2 - 120.928232668529," 
100",23.531764617564182,17.892823266852904,41.424587884417086
10*t + 5474.15141490272*(0.0241402522287053*t - 1)**3 - 4513.24252102118*(0.0241402522287053*t - 1)**2 - 125.608892542801,10*t + 2501.48620664304*(0.0241402522287053*t - 1)**3 - 2062.3861230499*(0.0241402522287053*t - 1)**2 - 346.245878844171," 
100",22.76872977325838,41.424587884417086,64.19331765767546
10*t + 31.1044737253231*(0.0155779454386937*t - 1)**3 - 17.5605218634147*(0.0155779454386937*t - 1)**2 - 580.103389342712,10*t + 8312.80325743416*(0.0155779454386937*t - 1)**3 - 4693.12436010103*(0.0155779454386937*t - 1)**2 - 553.933176576755," 
100",24.160900843769028,64.19331765767546,88.35421850144449
10*t + 52386.9704217567*(0.0113180787172448*t - 1)**3 - 20390.7053430361*(0.0113180787172448*t - 1)**2 - 580.932595973349,10*t + 23954.1851918223*(0.0113180787172448*t - 1)**3 - 9323.74458852298*(0.0113180787172448*t - 1)**2 - 775.542185014445," 
100",22.92688201885359,88.35421850144449,111.28110052029808
10*t + 157.858842327259*(0.00898625189115196*t - 1)**3 - 51.7471740647746*(0.00898625189115196*t - 1)**2 - 1038.59623201952,10*t + 42768.8616135201*(0.00898625189115196*t - 1)**3 - 14019.9161088426*(0.00898625189115196*t - 1)**2 - 984.811005202981," 
100",24.319121200723657,111.28110052029808,135.60022172102174
10*t + 210009.384679753*(0.00737461921011721*t - 1)**3 - 50572.1167169829*(0.00737461921011721*t - 1)**2 - 1039.4200254294,10*t + 95559.6586799878*(0.00737461921011721*t - 1)**3 - 23011.6107409618*(0.00737461921011721*t - 1)**2 - 1208.00221721022," 
100",21.76915490445512,135.60022172102174,157.36937662547686
10*t + 704.538648453302*(0.00635447646450236*t - 1)**3 - 145.725691793047*(0.00635447646450236*t - 1)**2 - 1473.88244550005,10*t + 150271.519333312*(0.00635447646450236*t - 1)**3 - 31081.9302244292*(0.00635447646450236*t - 1)**2 - 1405.69376625477," 
100",21.70002674907269,157.36937662547686,179.06940337454955
10*t + 644837.562827203*(0.00558442693813167*t - 1)**3 - 101798.912290306*(0.00558442693813167*t - 1)**2 - 1474.80606897054,10*t + 289018.961197471*(0.00558442693813167*t - 1)**3 - 45626.7090772145*(0.00558442693813167*t - 1)**2 - 1602.6940337455," 
100",18.846162753588544,179.06940337454955,197.9155661281381
10*t + 13523.6983048536*(0.0050526596748462*t - 1)**3 - 892.591132538945*(0.0050526596748462*t - 1)**2 - 1850.66509524365,10*t + 1809693.86515355*(0.0050526596748462*t - 1)**3 - 119443.414089356*(0.0050526596748462*t - 1)**2 - 1771.15566128138," 
100",8.708548768004533,197.9155661281381,206.62411489614263
10*t + 320342.536855289*(0.00483970615193023*t - 1)**3 - 71204.6220061887*(0.00483970615193023*t - 1)**2 - 1851.24114896143,10*t + 322186.466316176*(0.00483970615193023*t - 1)**3 - 71614.4842166758*(0.00483970615193023*t - 1)**2 - 1848.24114896143," 
100",30.618458485038076,206.62411489614263,237.2425733811807
10*t + 2670594.03271361*(0.00421509506387493*t - 1)**3 - 168852.115873575*(0.00421509506387493*t - 1)**2 - 2372.42573381181,10*t + 2670594.03271361*(0.00421509506387493*t - 1)**3 - 168852.115873575*(0.00421509506387493*t - 1)**2 - 2372.42573381181,"     3     2
0.2 t - 3 t + 100",10.0,237.2425733811807,247.2425733811807
